000001.XSHG,上证指数
000980.XSHG,中证超大
000981.XSHG,300分层
000982.XSHG,500等权
000983.XSHG,智能资产
000984.XSHG,300等权
000985.XSHG,中证全指
000986.XSHG,全指能源
000987.XSHG,全指材料
000988.XSHG,全指工业
000989.XSHG,全指可选
000990.XSHG,全指消费
000991.XSHG,全指医药
000992.XSHG,全指金融
000993.XSHG,全指信息
000994.XSHG,全指电信
000995.XSHG,全指公用
000996.XSHG,领先行业
000997.XSHG,大消费
000998.XSHG,中证TMT
000999.XSHG,中证两岸三地500指数
399001.XSHE,深证成指
399002.XSHE,深成指R
399003.XSHE,成份B指
399004.XSHE,深证100R
399005.XSHE,中小板指
399006.XSHE,创业板指
399007.XSHE,深证300
399008.XSHE,中小300
399009.XSHE,深证200
399010.XSHE,深证700
399011.XSHE,深证1000
399012.XSHE,创业300
399013.XSHE,深市精选
399015.XSHE,深证中小创新指数
399016.XSHE,深证创新指数
399017.XSHE,中小板创新指数
399018.XSHE,创业板创新指数
399050.XSHE,创新引擎
399088.XSHE,深创100
399100.XSHE,新指数
399101.XSHE,中小板综
399102.XSHE,创业板综合指数
399103.XSHE,乐富指数
399106.XSHE,深证综指
399107.XSHE,深证A指
399108.XSHE,深证B指
399231.XSHE,农林指数
399232.XSHE,采矿指数
399233.XSHE,制造指数
399234.XSHE,水电指数
399235.XSHE,建筑指数
399236.XSHE,批零指数
399237.XSHE,运输指数
399238.XSHE,餐饮指数
399239.XSHE,IT指数
399240.XSHE,金融指数
399241.XSHE,地产指数
399242.XSHE,商务指数
399243.XSHE,科研指数
399244.XSHE,公共指数
399248.XSHE,文化指数
399249.XSHE,综企指数
399269.XSHE,创质量
399275.XSHE,创医药
399276.XSHE,创科技
399277.XSHE,公共健康
399278.XSHE,长江100
399279.XSHE,云科技50
399280.XSHE,生物50
399281.XSHE,电子50
399282.XSHE,大数据50
399283.XSHE,机器人50
399284.XSHE,AI 50
399285.XSHE,物联网50
399286.XSHE,区块链50
399290.XSHE,深转交债
399291.XSHE,创精选88
399292.XSHE,民企发展
399293.XSHE,创业大盘
399294.XSHE,中小创Q
399295.XSHE,创业蓝筹
399296.XSHE,创成长
399298.XSHE,深证中高等级信用债指数
399299.XSHE,深证中低等级信用债指数
399300.XSHE,沪深300
399301.XSHE,深信用债
399302.XSHE,深公司债
399303.XSHE,国证2000
399305.XSHE,基金指数
399306.XSHE,深证ETF
399307.XSHE,深证转债
399310.XSHE,国证50
399311.XSHE,国证1000
399312.XSHE,国证300
399313.XSHE,巨潮100
399314.XSHE,巨潮大盘
399315.XSHE,巨潮中盘
399316.XSHE,巨潮小盘
399317.XSHE,国证A指
399318.XSHE,巨潮B股指数
399319.XSHE,资源优势
399320.XSHE,国证服务
399321.XSHE,国证红利
399322.XSHE,国证治理
399324.XSHE,深证红利
399326.XSHE,成长40
399328.XSHE,深证治理
399330.XSHE,深证100
399332.XSHE,深证创新(旧)
399333.XSHE,中小板R
399335.XSHE,深证央企
399337.XSHE,深证民营
399339.XSHE,深证科技
399341.XSHE,深证责任
399344.XSHE,深证300R
399346.XSHE,深证成长
399348.XSHE,深证价值
399350.XSHE,皖江30
399351.XSHE,深报指数
399352.XSHE,深报综指
399353.XSHE,国证物流
399354.XSHE,分析师指数
399355.XSHE,长三角
399356.XSHE,珠三角
399357.XSHE,环渤海
399358.XSHE,泰达指数
399359.XSHE,国证基建
399360.XSHE,国证装备
399361.XSHE,国证商业
399362.XSHE,国证民营
399363.XSHE,计算机指
399364.XSHE,中金消费
399365.XSHE,国证农业
399366.XSHE,国证大宗
399367.XSHE,巨潮地产
399368.XSHE,国证军工
399369.XSHE,CBN-兴全
399370.XSHE,国证成长
399371.XSHE,国证价值
399372.XSHE,大盘成长
399373.XSHE,大盘价值
399374.XSHE,中盘成长
399375.XSHE,中盘价值
399376.XSHE,小盘成长
399377.XSHE,小盘价值
399378.XSHE,南方低碳
399379.XSHE,国证基金
399380.XSHE,国证ETF
399381.XSHE,1000能源
399382.XSHE,1000材料
399383.XSHE,1000工业
399384.XSHE,1000可选
399385.XSHE,1000消费
399386.XSHE,1000医药
399387.XSHE,1000金融
399388.XSHE,1000信息
399389.XSHE,国证通信
399390.XSHE,1000公用
399391.XSHE,投资时钟
399392.XSHE,国证新兴
399393.XSHE,国证地产
399394.XSHE,国证医药
399395.XSHE,国证有色
399396.XSHE,国证食品
399397.XSHE,OCT文化
399398.XSHE,绩效指数
399399.XSHE,中经GDP
399400.XSHE,大中盘
399401.XSHE,中小盘
399402.XSHE,周期100
399403.XSHE,防御100
399404.XSHE,大盘低波
399405.XSHE,大盘高贝
399406.XSHE,中盘低波
399407.XSHE,中盘高贝
399408.XSHE,小盘低波
399409.XSHE,小盘高贝
399410.XSHE,苏州率先
399411.XSHE,红利100
399412.XSHE,国证新能
399413.XSHE,国证转债
399415.XSHE,I100
399416.XSHE,I300
399417.XSHE,国证新能源汽车指数
399418.XSHE,国证国家安全指数
399419.XSHE,国证高铁指数
399420.XSHE,国证保险证券指数
399423.XSHE,中关村50指数
399427.XSHE,国证德高行专利领先指数
399428.XSHE,国证定向增发指数
399429.XSHE,新丝路指数
399431.XSHE,国证银行行业指数
399432.XSHE,国证汽车与汽车零配件行业指数
399433.XSHE,国证交通运输行业指数
399434.XSHE,国证传媒行业指数
399435.XSHE,国证农牧渔产品行业指数
399436.XSHE,国证煤炭行业指数
399437.XSHE,国证证券行业指数
399438.XSHE,国证电力公用事业行业指数
399439.XSHE,国证石油天然气行业指数
399440.XSHE,国证黑色金属行业指数
399441.XSHE,国证生物医药指数
399481.XSHE,企债指数
399550.XSHE,央视50
399551.XSHE,央视创新
399552.XSHE,央视成长
399553.XSHE,央视回报
399554.XSHE,央视治理
399555.XSHE,央视责任
399556.XSHE,央视生态
399557.XSHE,央视文化
399602.XSHE,中小成长
399604.XSHE,中小价值
399606.XSHE,创业板R
399608.XSHE,科技100
399610.XSHE,TMT50
399611.XSHE,中创100R
399612.XSHE,中创100
399613.XSHE,深证能源
399614.XSHE,深证材料
399615.XSHE,深证工业
399616.XSHE,深证可选
399617.XSHE,深证消费
399618.XSHE,深证医药
399619.XSHE,深证金融
399620.XSHE,深证信息
399621.XSHE,深证电信
399622.XSHE,深证公用
399623.XSHE,中小基础
399624.XSHE,中创400
399625.XSHE,中创500
399626.XSHE,中创成长
399627.XSHE,中创价值
399628.XSHE,700成长
399629.XSHE,700价值
399630.XSHE,1000成长
399631.XSHE,1000价值
399632.XSHE,深100EW
399633.XSHE,深300EW
399634.XSHE,中小板EW
399635.XSHE,创业板EW
399636.XSHE,深证装备
399637.XSHE,深证地产
399638.XSHE,深证环保
399639.XSHE,深证大宗
399640.XSHE,创业基础
399641.XSHE,深证新兴
399642.XSHE,中小新兴
399643.XSHE,创业新兴
399644.XSHE,深证时钟
399645.XSHE,100低波
399646.XSHE,深消费50
399647.XSHE,深医药50
399648.XSHE,深证GDP
399649.XSHE,中小红利
399650.XSHE,中小治理
399651.XSHE,中小责任
399652.XSHE,中创高新
399653.XSHE,深证龙头
399654.XSHE,深证文化
399655.XSHE,深证绩效
399656.XSHE,100绩效
399657.XSHE,300绩效
399658.XSHE,中小绩效
399659.XSHE,深成指EW
399660.XSHE,中创EW
399661.XSHE,深证低波
399662.XSHE,深证高贝
399663.XSHE,中小低波
399664.XSHE,中小高贝
399665.XSHE,中创低波
399666.XSHE,中创高贝
399667.XSHE,创业板G
399668.XSHE,创业板V
399669.XSHE,深证农业
399670.XSHE,深周期50
399671.XSHE,深防御50
399672.XSHE,深红利50
399673.XSHE,创业板50
399674.XSHE,深A医药卫生指数
399675.XSHE,深A软件与互联网指数
399676.XSHE,深A医药卫生等权指数
399677.XSHE,深A软件与互联网等权指数
399678.XSHE,深证次新股指数
399679.XSHE,深证200指数
399680.XSHE,深成能源行业指数
399681.XSHE,深成原材料行业指数
399682.XSHE,深成工业行业指数
399683.XSHE,深成可选消费行业指数
399684.XSHE,深成主要消费行业指数
399685.XSHE,深成医药卫生行业指数
399686.XSHE,深成金融地产行业指数
399687.XSHE,深成信息技术行业指数
399688.XSHE,深成电信业务行业指数
399689.XSHE,深成公用事业行业指数
399690.XSHE,深证中小板专利领先指数
399691.XSHE,深证创业板专利领先指数
399692.XSHE,创业300低波动率指数
399693.XSHE,安防产业
399694.XSHE,创业高贝
399695.XSHE,深证节能环保指数
399696.XSHE,深证创投
399697.XSHE,中关村60
399698.XSHE,深证优势成长
399699.XSHE,金融科技
399701.XSHE,深证F60
399702.XSHE,深证F120
399703.XSHE,深证F200
399704.XSHE,深证上游
399705.XSHE,深证中游
399706.XSHE,深证下游
399707.XSHE,中证申万证券行业指数
399802.XSHE,500深市
399803.XSHE,中证工业4.0指数
399804.XSHE,中证体育产业指数
399805.XSHE,中证互联网金融指数
399806.XSHE,中证环境治理指数
399807.XSHE,中证高铁产业指数
399808.XSHE,中证新能源指数
399809.XSHE,中证方正富邦保险主题指数
399810.XSHE,中证申万传媒行业投资指数
399811.XSHE,中证申万电子行业投资指数
399812.XSHE,中证养老产业指数
399813.XSHE,中证国防安全指数
399814.XSHE,中证大农业指数
399817.XSHE,中证阿拉善生态主题100指数
399901.XSHE,中证南方小康产业指数
399902.XSHE,中证流通指数
399903.XSHE,中证100指数
399904.XSHE,中证中盘200指数
399905.XSHE,中证500
399906.XSHE,中证800指数
399907.XSHE,中证中小盘700指数
399908.XSHE,沪深300能源指数
399909.XSHE,沪深300原材料指数
399910.XSHE,沪深300工业指数
399911.XSHE,沪深300可选消费指数
399912.XSHE,沪深300主要消费指数
399913.XSHE,沪深300医药卫生指数
399914.XSHE,沪深300金融地产指数
399915.XSHE,沪深300信息技术指数
399916.XSHE,沪深300电信业务指数
399917.XSHE,沪深300公用事业指数
399918.XSHE,沪深300成长指数
399919.XSHE,沪深300价值指数
399920.XSHE,沪深300相对成长指数
399922.XSHE,中证红利指数
399923.XSHE,公司债
399925.XSHE,中证锐联基本面50指数
399926.XSHE,中证中央企业综合指数
399927.XSHE,中证中央企业100指数
399928.XSHE,中证能源指数
399929.XSHE,中证原材料指数
399930.XSHE,中证工业指数
399931.XSHE,中证可选消费指数
399932.XSHE,中证主要消费指数
399933.XSHE,中证医药卫生指数
399934.XSHE,中证金融地产指数
399935.XSHE,中证信息技术指数
399936.XSHE,中证电信业务指数
399937.XSHE,中证公用事业指数
399938.XSHE,中证民营企业综合指数
399939.XSHE,中证民营企业200指数
399940.XSHE,中证财富大盘指数
399941.XSHE,中证内地新能源主题指数
399942.XSHE,中证内地消费主题指数
399943.XSHE,中证内地基建主题指数
399944.XSHE,中证内地资源主题指数
399945.XSHE,中证内地运输主题指数
399946.XSHE,中证内地金融主题指数
399947.XSHE,中证内地银行主题指数
399948.XSHE,中证内地地产主题指数
399949.XSHE,中证内地农业主题指数
399950.XSHE,沪深300基建主题指数
399951.XSHE,沪深300银行指数
399952.XSHE,沪深300地产指数
399953.XSHE,中证地方国有企业综合指数
399954.XSHE,中证地方国有企业100指数
399955.XSHE,中证国有企业综合指数
399956.XSHE,中证国有企业200指数
399957.XSHE,沪深300运输指数
399958.XSHE,中证创业成长指数
399959.XSHE,军工指数
399960.XSHE,中证龙头企业指数
399961.XSHE,中证上游资源产业指数
399962.XSHE,中证中游制造产业指数
399963.XSHE,中证下游消费与服务产业指数
399964.XSHE,中证新兴产业指数
399965.XSHE,800地产
399966.XSHE,800非银
399967.XSHE,中证军工
399968.XSHE,沪深300周期行业指数
399969.XSHE,沪深300非周期行业指数
399970.XSHE,中证移动互联网指数
399971.XSHE,中证传媒指数
399972.XSHE,300深市
399973.XSHE,中证国防指数
399974.XSHE,中证国有企业改革指数
399975.XSHE,中证全指证券公司指数(四级行业)
399976.XSHE,中证新能源汽车指数
399977.XSHE,中证内地低碳经济主题指数
399978.XSHE,中证医药100指数
399979.XSHE,中证大宗商品股票指数
399980.XSHE,中证超级大盘指数
399981.XSHE,沪深300行业分层等权重指数
399982.XSHE,中证500等权重指数
399983.XSHE,沪深300地产等权重指数
399984.XSHE,沪深300等权重指数
399985.XSHE,中证全指指数
399986.XSHE,中证银行指数
399987.XSHE,中证酒指数
399989.XSHE,中证医疗指数
399990.XSHE,中证煤炭等权指数
399991.XSHE,中证一带一路主题指数
399992.XSHE,中证万得并购重组指数
399993.XSHE,中证万得生物科技指数
399994.XSHE,中证信息安全主题指数
399995.XSHE,中证基建工程指数
399996.XSHE,中证智能家居指数
399997.XSHE,中证白酒指数
399998.XSHE,中证煤炭指数
